loan_id,interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use
1018627,29.139,8.0,20.83636364,10,0,0.0,85.73076923,65401.15385,668.1818182,572.7272727,4,F,5,2,1,1 year,0
1041636,20.405,6.0,24.35727273,10,0,0.0,77.30769231,16660.0,731.8181818,627.2727273,0,E,3,2,2,7 years,0
1047652,5.616,5.0,15.07,9,0,0.0,69.0,28833.46154,714.0151515,659.0909091,0,A,3,1,2,10+ years,4
1005732,11.151,4.0,10.1,10,1,1.0,24.55384615,6631.384615,658.6363636,564.5454545,0,C,5,0,0,7 years,0
1032731,10.923,11.0,15.52727273,15,1,1.0,25.2,12094.92308,803.6363636,741.8181818,0,B,3,1,1,6 years,4
1017250,7.362,11.0,20.9,19,0,0.0,71.88461538,18682.15385,843.75,675.0,0,B,3,2,0,10+ years,4
1005343,10.087,5.0,20.82545455,8,0,0.0,67.30769231,17495.69231,715.0,660.0,2,B,3,1,1,5 years,4
1016312,20.5,11.0,20.63636364,18,0,0.0,92.3,25951.69231,780.0,720.0,0,E,3,2,1,7 years,4
1049648,17.919,5.0,13.06909091,5,0,0.0,103.2692308,30475.38462,680.1136364,544.0909091,5,D,5,1,1,3 years,0
1039525,5.616,5.0,16.69090909,8,0,0.0,65.90769231,30490.92308,846.5909091,677.2727273,0,A,3,0,0,10+ years,4
1000615,6.99,3.0,7.674545455,12,0,0.0,2.953846154,2523.0,1070.454545,856.3636364,0,A,3,0,0,1 year,3
1001211,10.989,11.0,22.63636364,23,0,0.0,77.75384615,16756.15385,725.8333333,670.0,3,B,3,0,1,6 years,4
1011958,26.06,12.0,10.73454545,16,0,0.0,47.49230769,9213.0,649.0909091,556.3636364,0,G,5,1,0,4 years,0
1035359,16.695,4.0,21.22363636,9,0,0.0,63.23076923,27580.38462,649.0909091,556.3636364,5,E,5,2,2,10+ years,0
1034590,9.675,4.0,30.00272727,12,0,0.0,34.38461538,29575.38462,886.3636364,818.1818182,3,B,3,0,1,< 1 year,0
1012786,4.779,1.0,13.5,9,0,0.0,2.1,843.2307692,899.1666667,830.0,3,A,3,0,1,9 years,1
1027248,16.02,11.0,19.10181818,21,0,0.0,64.96153846,31317.69231,785.9090909,725.4545455,3,C,3,1,0,6 years,0
1032817,8.991,5.0,13.68,7,0,0.0,104.3076923,11934.0,881.25,705.0,2,B,3,1,1,10+ years,0
1031848,15.291,8.0,30.24545455,13,0,0.0,68.06153846,19329.23077,731.25,675.0,4,D,5,1,0,< 1 year,4
1018530,8.541,6.0,14.42,26,0,0.0,4.5,3851.076923,898.3333333,770.0,0,B,5,1,0,5 years,0
